Energy supply [PWh];LCOE_Uniform discount rate [$/MWh];Energy supply [PWh];LCOE_Country-specific discount rate [$/MWh];World demand [PWh]
0.000885546;11.36562672;0.000885546;11.96624551;38.048
0.001149559;11.41015741;0.014614852;12.04765043;
0.002447978;11.4377931;0.0165789;12.14299793;
0.016177284;11.4429457;0.02729803;12.15530429;
0.018141332;11.53350745;0.110677372;12.2177606;
0.018499697;11.54162235;0.130417412;12.25877274;
0.01984259;11.54162235;0.244697413;12.33229241;
0.03958263;11.64347121;0.296675633;12.33507595;
0.041278682;11.64385913;0.310300017;12.35010617;
0.041844448;11.67533254;0.313328159;12.42530492;
0.046547732;11.69525384;0.327223635;12.42581466;
0.04658287;11.72741538;0.434979791;12.44190287;
0.060207253;11.73022035;0.513902163;12.45869986;
0.063546341;11.78364607;0.517582365;12.50425379;
0.066574483;11.80164468;0.608098609;12.54055295;
0.080469959;11.80212883;0.995965246;12.55619871;
0.08089665;11.84909936;1.012815813;12.55714722;
0.081845131;11.86464128;1.034628717;12.64315924;
0.086869623;11.87168246;1.054634862;12.64909554;
0.090549824;11.87663088;1.091827966;12.65428911;
0.093228941;11.89481905;1.859399964;12.66564738;
0.102025562;11.91199248;1.899914237;12.76009755;
0.135551868;11.92580818;1.956500403;12.7727274;
0.135678579;11.92623221;2.006030136;12.77888926;
0.152529146;11.92686945;2.924420227;12.77909043;
0.161679144;11.9321832;2.962243954;12.85997546;
0.176662448;11.9360099;2.981091425;12.86521162;
0.180241689;11.94408285;3.032422469;12.87832339;
0.18108041;11.96281286;3.693306375;12.88779187;
0.181143;11.98751075;3.732900509;12.89087868;
0.190802813;12.0085463;4.00043538;12.9013368;
0.212615717;12.00856429;4.044875939;12.91405046;
0.232621862;12.01420263;4.047398246;12.91481093;
0.294053403;12.01967955;4.059069859;12.91512093;
0.341325769;12.0200839;4.243693623;12.97071797;
0.367384066;12.02213167;4.383214069;12.97761271;
0.419940774;12.03066059;4.418328681;12.97927504;
0.427952144;12.03136197;4.454107968;12.97946354;
0.431524358;12.04018508;4.560463982;12.99155775;
0.470681666;12.04512404;4.762033064;12.99586262;
0.500485524;12.05528429;4.82420404;13.01129228;
0.505369471;12.05555126;5.498490267;13.0124906;
0.506238607;12.11446614;5.524897888;13.01351464;
0.508153683;12.11569592;5.547346288;13.08112472;
0.585521182;12.11756821;5.880351086;13.09683005;
0.626035455;12.11963314;6.395110931;13.09891158;
0.639646137;12.12540776;6.548142573;13.09995629;
0.872309225;12.12558417;6.606477676;13.1008796;
1.073255136;12.12841796;7.231261586;13.11340378;
1.14490318;12.12886752;7.732308454;13.13052433;
1.485361339;12.1299137;7.79088713;13.13137235;
1.565158624;12.13001847;7.835011531;13.13343149;
1.59306864;12.1363079;7.835960013;13.17535939;
1.642598374;12.13748164;8.146302761;13.20137251;
1.653317504;12.15530429;9.254152336;13.2061848;
1.655684481;12.16799586;9.576267897;13.20627413;
1.6570337;12.17537689;9.681481251;13.21428628;
1.694857427;12.21449791;9.990388358;13.21775148;
1.734531677;12.21667345;10.00101921;13.22414486;
1.817911018;12.2177606;10.06423337;13.25638084;
1.836758488;12.21947125;10.39668044;13.25723742;
2.184512763;12.22131018;10.48423593;13.27313208;
2.262945552;12.22301493;10.97484732;13.31163419;
2.324087395;12.22420592;10.97490991;13.31180258;
2.427541565;12.22515956;11.00094733;13.32234715;
2.698937555;12.22700109;11.561882;13.33346185;
2.904343302;12.22782247;11.71265153;13.33682113;
2.938259784;12.23422489;12.28819874;13.33940308;
2.96203893;12.24207173;12.64898652;13.34098294;
3.018286351;12.24898908;12.64925054;13.34769607;
3.022105579;12.25195207;12.71355676;13.36961076;
3.123713091;12.25313969;13.01400488;13.37812286;
3.391247962;12.2537832;13.1193992;13.38502057;
3.397772928;12.25410639;13.11941095;13.38897926;
