A;B;A;B;A;B;A;B;;;;
886;12;886;11;0.000885546;11.97;0.000885546;11.37;38.048;0;0.000886;11.66
14615;12;1150;11;0.014614852;12.05;0.001149559;11.41;38.048;1;0.014615;11.74
16579;12;2448;11;0.0165789;12.14;0.002447978;11.44;38.048;2;0.016579;11.84
27292;12;16177;11;0.027292237;12.16;0.016177284;11.44;38.048;3;0.036319;11.95
110533;12;18141;12;0.11053346;12.22;0.018141332;11.53;38.048;4;0.049943;12.04
130274;12;18500;12;0.130273501;12.26;0.018499697;11.54;38.048;5;0.066867;12.11
296152;12;19843;12;0.296151739;12.33;0.01984259;11.54;38.048;6;0.077580;12.16
309776;12;39583;12;0.309776122;12.35;0.03958263;11.64;38.048;7;0.160821;12.22
326700;12;41279;12;0.326699736;12.43;0.041278682;11.64;38.048;8;0.181351;12.23
512977;12;41844;12;0.512977332;12.45;0.041844448;11.68;38.048;9;0.223171;12.33
533507;13;46548;12;0.533507318;12.55;0.046547732;11.7;38.048;10;0.389049;12.33
1010194;13;46583;12;1.010193621;12.55;0.04658287;11.73;38.048;11;0.389313;12.36
1052013;13;60207;12;1.052013028;12.65;0.060207253;11.73;38.048;12;0.479354;12.45
1855442;13;63546;12;1.855442177;12.67;0.063546341;11.78;38.048;13;0.665632;12.45
1945483;13;80470;12;1.945483311;12.77;0.080469954;11.8;38.048;14;0.666975;12.50
2918627;13;80897;12;2.918626659;12.78;0.080896645;11.85;38.048;15;0.667923;12.51
2975297;13;81845;12;2.975297356;12.86;0.081845126;11.86;38.048;16;0.724594;12.54
3724142;13;86870;12;3.724141556;12.89;0.086869618;11.87;38.048;17;1.200000;12.55
4050308;13;89549;12;4.050308337;12.9;0.089548735;11.89;38.048;18;1.530000;12.58
4121202;13;110079;12;4.121202259;12.98;0.110078721;11.92;38.048;19;1.530000;12.64
4753237;13;143605;12;4.753237225;12.98;0.143605027;11.93;38.048;20;1.530000;12.64
5514269;13;143732;12;5.514269422;13.01;0.143731738;11.93;38.048;21;1.600000;12.65
5595055;13;167513;12;5.595055273;13.1;0.167512522;11.93;38.048;22;2.230000;12.66
7220528;13;176663;12;7.22052825;13.1;0.176662521;11.93;38.048;23;3.030000;12.67
7822536;13;180242;12;7.822536306;13.13;0.180241762;11.94;38.048;24;3.120000;12.76
7823485;13;181080;12;7.823484787;13.18;0.181080482;11.96;38.048;25;4.740000;12.77
9872008;13;181143;12;9.872008457;13.21;0.181143073;11.99;38.048;26;4.740000;12.77
9987852;13;190803;12;9.987851924;13.22;0.190802885;12.01;38.048;27;5.710000;12.78
10469597;13;232622;12;10.46959706;13.26;0.232622293;12.01;38.048;28;7.760000;12.87
10469660;13;279849;12;10.46965965;13.31;0.279849311;12.02;38.048;29;7.880000;12.88
12456227;13;366904;12;12.45622728;13.33;0.366904244;12.02;38.048;30;7.880000;12.88
12633036;13;419461;12;12.63303616;13.33;0.419460952;12.03;38.048;31;8.630000;12.89
12633300;13;427472;12;12.63330017;13.35;0.427472322;12.03;38.048;32;8.640000;12.92
13101432;13;431045;12;13.10143205;13.38;0.431044536;12.04;38.048;33;10.600000;12.99
13101444;13;469027;12;13.1014438;13.39;0.469026732;12.05;38.048;34;10.800000;13.00
14431819;13;498831;12;14.43181894;13.45;0.498830591;12.06;38.048;35;11.600000;13.01
14544145;13;503715;12;14.54414518;13.45;0.503714537;12.06;38.048;36;11.600000;13.03
14545014;13;504584;12;14.54501431;13.45;0.504583673;12.11;38.048;37;11.600000;13.05
14562818;13;506499;12;14.56281832;13.46;0.506498749;12.12;38.048;38;11.600000;13.05
14565907;13;583315;12;14.56590738;13.47;0.583315346;12.12;38.048;39;11.600000;13.05
14567250;14;596926;12;14.56725027;13.5;0.596926028;12.13;38.048;40;11.600000;13.09
15108798;14;829570;12;15.10879824;13.51;0.829570264;12.13;38.048;41;12.900000;13.11
15109906;14;901163;12;15.10990635;13.52;0.901163487;12.13;38.048;42;13.100000;13.11
16295350;14;1126603;12;16.29534971;13.57;1.12660313;12.13;38.048;43;13.100000;13.13
16305860;14;1216644;12;16.30586022;13.58;1.216644264;12.13;38.048;44;13.700000;13.13
16364188;14;1538504;12;16.36418786;13.58;1.538504168;12.13;38.048;45;13.700000;13.13
16370713;14;1618295;12;16.37071283;13.61;1.618294749;12.13;38.048;46;13.700000;13.17
16864064;14;1629008;12;16.86406412;13.64;1.629008087;12.16;38.048;47;13.700000;13.18
16864630;14;1631375;12;16.86462989;13.66;1.631375063;12.17;38.048;48;13.800000;13.18
16940961;14;1632724;12;16.94096122;13.68;1.632724282;12.18;38.048;49;13.800000;13.20
16945792;14;1689395;12;16.94579172;13.68;1.68939498;12.22;38.048;50;13.800000;13.22
17478966;14;1772636;12;17.47896608;13.69;1.772636202;12.22;38.048;51;15.000000;13.23
17486779;14;2109001;12;17.48677917;13.74;2.1090014;12.22;38.048;52;15.100000;13.24
17488857;14;2251217;12;17.48885738;13.74;2.251216677;12.22;38.048;53;15.600000;13.26
17501642;14;2329352;12;17.50164229;13.74;2.329351619;12.22;38.048;54;15.600000;13.28
17950429;14;2390493;12;17.95042907;13.77;2.390493462;12.22;38.048;55;15.600000;13.28
17982546;14;2661848;12;17.98254611;13.81;2.661848495;12.23;38.048;56;15.700000;13.29
18127687;14;2867086;12;18.12768744;13.81;2.867085622;12.23;38.048;57;15.700000;13.33
18203852;14;2901002;12;18.20385223;13.83;2.901002104;12.23;38.048;58;15.800000;13.34
18203857;14;2924781;12;18.20385673;13.84;2.92478125;12.24;38.048;59;15.800000;13.34
18242357;14;2980899;12;18.24235735;13.85;2.980899273;12.25;38.048;60;16.300000;13.34
18245513;14;2984719;12;18.24551299;13.87;2.984718501;12.25;38.048;61;16.400000;13.35
18664107;14;3086326;12;18.66410737;13.91;3.086326013;12.25;38.048;62;16.400000;13.36
18666786;14;3092851;12;18.66678649;13.91;3.092850979;12.25;38.048;63;16.800000;13.38
18668768;14;3419018;12;18.668768;13.92;3.41901776;12.26;38.048;64;16.900000;13.40
18668804;14;3431156;12;18.66880439;13.92;3.431156101;12.26;38.048;65;17.100000;13.42
18774464;14;3431161;12;18.77446391;13.94;3.4311606;12.29;38.048;66;17.100000;13.44
18778118;14;3445125;12;18.77811771;13.94;3.445124976;12.31;38.048;67;17.200000;13.46
18787872;14;3447115;12;18.7878715;13.95;3.447114679;12.32;38.048;68;17.300000;13.47
18941833;14;3449402;12;18.94183274;13.95;3.449401826;12.32;38.048;69;17.300000;13.47
19192761;14;3583836;12;19.19276135;13.97;3.583835728;12.32;38.048;70;17.400000;13.48
19192770;14;3622091;12;19.19277024;14;3.622091135;12.33;38.048;71;17.400000;13.48
19198017;14;3798138;12;19.19801715;14.04;3.79813756;12.33;38.048;72;17.900000;13.51
19574372;14;3869031;12;19.57437238;14.05;3.869031482;12.33;38.048;73;17.900000;13.52
19708299;14;3936555;12;19.70829921;14.07;3.936554637;12.33;38.048;74;18.000000;13.52
19716311;14;4233497;12;19.71631058;14.07;4.233496528;12.33;38.048;75;18.400000;13.54
19718542;14;4495017;12;19.71854199;14.08;4.4950166;12.33;38.048;76;18.400000;13.58
20240027;14;4518654;12;20.24002652;14.09;4.518654351;12.33;38.048;77;18.400000;13.59
20307877;14;5150689;12;20.30787655;14.1;5.150689317;12.33;38.048;78;18.500000;13.59
20316757;14;5316568;12;20.31675731;14.12;5.316567556;12.33;38.048;79;18.500000;13.60
20316771;14;5716402;12;20.3167705;14.16;5.71640217;12.33;38.048;80;18.700000;13.61
20316799;14;5806915;12;20.31679947;14.17;5.806914852;12.34;38.048;81;18.900000;13.61
20317703;14;5889477;12;20.31770304;14.18;5.889477207;12.34;38.048;82;18.900000;13.61
20331314;14;5905523;12;20.33131372;14.18;5.905523424;12.34;38.048;83;18.900000;13.64
20786762;14;5944024;12;20.78676214;14.19;5.944024043;12.35;38.048;84;19.400000;13.64
20787290;14;6036437;12;20.78728956;14.2;6.036437297;12.35;38.048;85;20.000000;13.67
21051420;14;6038516;12;21.05141997;14.2;6.03851551;12.37;38.048;86;20.000000;13.68
21104183;14;6038838;12;21.10418275;14.21;6.038837934;12.43;38.048;87;20.000000;13.69
