RLCOE [$/MWh];Energy supply relative to demand;Energy supply [PWh]
17.91039854;0.000964406;435.0951362
18.0999092;0.011151441;5031.014215
18.26752101;0.031862109;14374.709
18.47343479;0.054495981;24586.06446
18.67882908;0.077729548;35067.97467
18.87326141;0.141154485;63682.37079
19.08408418;0.180191253;81293.95409
19.33303695;0.202797919;91493.03528
19.54526958;0.231296076;104350.085
19.6409926;0.231336039;104368.1146
19.74914046;0.256041824;115514.2214
20.011417;0.289136669;130445.0835
20.13740293;0.289161894;130456.4639
20.28899897;0.325278001;146750.3801
20.53625625;0.387783107;174949.7911
20.75344358;0.387807015;174960.577
20.79745742;0.464419453;209524.5633
21.04821814;0.591781166;266984.2739
21.23849388;0.595301209;268572.3543
21.32515895;0.726962086;327971.649
21.43393036;0.732102188;330290.6248
21.52662439;0.73217552;330323.7091
21.59918146;0.820537225;370188.4207
21.65642773;0.828790603;373911.9631
21.84293649;0.890111845;401577.2693
21.87480775;0.890172662;401604.7073
21.89503736;0.902152345;407009.3858
22.10134643;0.914827984;412728.0475
22.1556169;0.966616415;436092.5909
22.38480098;0.977465817;440987.3387
22.4829674;1.032968734;466027.6863
22.63292514;1.070118259;482787.8323
22.69970105;1.070232617;482839.4256
22.77821385;1.103481759;497839.8998
22.8878233;1.119496028;505064.7964
23.051877;1.131912759;510666.6511
23.15759399;1.147691775;517785.4129
23.34950126;1.14789565;517877.3915
23.42310498;1.156995464;521982.8067
23.49604139;1.157213425;522081.1406
23.6350791;1.157219927;522084.074
23.77788186;1.178825592;531831.5499
24.07934325;1.195433399;539324.2242
24.20265328;1.195694007;539441.7982
24.34666457;1.225771275;553011.2697
24.66485669;1.252701897;565161.1198
24.95928045;1.281506527;578156.4359
25.25808461;1.320870523;595915.6491
25.34086044;1.321260463;596091.5718
25.62498006;1.374809627;620250.4765
25.92501779;1.412752073;637368.352
26.29664426;1.463845763;660419.4605
26.38450592;1.464394711;660667.1203
26.61751911;1.501851638;677565.952
26.98840746;1.514689304;683357.7129
27.35734134;1.523749722;687445.3542
27.89769316;1.524639995;687847.0043
29.59864532;1.526089149;688500.7955
31.32889074;1.528814305;689730.2595
33.17272161;1.53317462;691697.4321
35.13988397;1.54006646;694806.7112
37.1295625;1.551404827;699922.0575
39.26972903;1.570811519;708677.4588
42.12570302;1.599576547;721654.9084
45.75057118;1.636615672;738365.2472
50.32327496;1.673280747;754906.8323
53.84063768;1.673286436;754909.399
54.60007146;1.673393071;754957.5076
56.17863541;1.708789989;770926.9586
57.25209404;1.709052304;771045.303
