LCOE_Wind [$/MWh];Energy supply relative to demand;Energy supply [PWh]
19.6409926;4.00E-05;18.0295921
20.13740293;6.52E-05;29.40997252
20.75344358;8.91E-05;40.19582541
21.52662439;0.000162428;73.28016783
21.87480775;0.000223246;100.7181989
22.69970105;0.000337605;152.3115428
23.49604139;0.000555566;250.6454719
24.20265328;0.000816173;368.2194997
25.34086044;0.001206113;544.1422135
26.38450592;0.00175506;791.8020474
27.89769316;0.002645334;1193.452138
29.59864532;0.004094488;1847.243335
31.32889074;0.006819643;3076.707408
33.17272161;0.011179959;5043.879955
35.13988397;0.018071798;8153.159062
37.1295625;0.029410165;13268.50533
39.26972903;0.048816857;22023.9067
42.12570302;0.077581886;35001.35627
45.75057118;0.11462101;51711.6951
50.32327496;0.151286086;68253.28018
53.84063768;0.151291775;68255.8469
54.60007146;0.151398409;68303.95545
56.17863541;0.186795327;84273.40647
57.25209404;0.187057642;84391.75086
63.39125993;0.217794109;98258.62245
67.88200542;0.224706259;101377.0644
72.12891093;0.234731403;105899.9454
73.09305395;0.265342319;119710.1741
83.82674488;0.292352135;131895.7531
91.03942442;0.294273495;132762.5815
99.38623057;0.314540155;141905.9609
100.3187737;0.32364072;146011.7144
102.6423945;0.340250194;153505.1405
111.3725325;0.351300085;158490.3397
116.5947008;0.359171832;162041.708
122.4554518;0.374415954;168919.1499
135.0153704;0.374753535;169071.4513
140.6045768;0.38782439;174968.4159
149.3073406;0.390097043;175993.7316
149.4724319;0.390443398;176149.9912
152.9982765;0.401524274;181149.1693
189.1363994;0.401608072;181186.9753
190.6776617;0.407097323;183663.4715
200.6765834;0.412993766;186323.6735
272.7651346;0.416098532;187724.4003
315.0650549;0.416099437;187724.8086
336.3458848;0.416116403;187732.463
389.2407704;0.416125203;187736.433
392.4773087;0.418085678;188620.9086
589.6181321;0.419037549;189050.3486
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
