Country ;RLCOEEx  [$/MWh]
Afghanistan;35.1
Albania;23.0
Algeria;19.7
Angola;23.5
Argentina;40.1
Armenia;19.2
Australia;23.0
Austria;39.5
Azerbaijan;20.6
Bangladesh;25.7
Belarus;34.8
Belgium;Not self-sufficient
Belize;30.4
Benin;19.0
Bhutan;16.7
Bolivia;21.2
Bosnia and Herzegovina;28.8
Botswana;18.0
Brazil;19.0
Brunei;Not self-sufficient
Bulgaria;20.2
Burkina Faso;18.9
Burundi;27.7
Cambodia;23.1
Cameroon;19.8
Canada;17.5
Central African Republic;21.6
Chad;22.8
Chile;16.0
China;20.4
Colombia;17.7
Costa Rica;25.4
Côte d'Ivoire;19.2
Croatia;22.9
Cuba;30.5
Cyprus;16.9
Czech Republic;26.4
Democratic Republic of the Congo;25.7
Denmark;22.9
Djibouti;25.6
Dominican Republic;20.3
Ecuador;34.1
Egypt;24.1
El Salvador;23.8
Equatorial Guinea;Not self-sufficient
Eritrea;30.1
Estonia;25.9
Ethiopia;23.7
Finland;40.3
France;21.7
French Guiana;24.4
Gabon;28.0
Gambia;20.4
Georgia;20.4
Germany;210.6
Ghana;22.5
Greece;22.5
Guatemala;19.7
Guinea;25.4
Guinea-Bissau;22.6
Guyana;22.5
Haiti;25.7
Honduras;21.0
Hungary;23.0
Iceland;23.6
India;20.3
Indonesia;20.9
Iran;19.3
Iraq;21.6
Ireland;22.9
Israel;Not self-sufficient
Italy;42.1
Jamaica;25.3
Japan;Not self-sufficient
Jordan;17.7
Kazakhstan;17.3
Kenya;19.2
Kosovo;23.4
Kuwait;Not self-sufficient
Kyrgyzstan;19.0
Laos;28.9
Latvia;25.1
Lebanon;Not self-sufficient
Lesotho;25.1
Liberia;34.0
Libya;17.1
Lithuania;24.4
Luxembourg;Not self-sufficient
Macedonia;22.5
Madagascar;25.2
Malawi;29.2
Malaysia;Not self-sufficient
Mali;20.5
Mauritania;17.8
Mexico;14.5
Moldova;30.4
Mongolia;21.4
Montenegro;24.4
Morocco;14.8
Mozambique;29.6
Myanmar;32.8
Namibia;19.2
Nepal;14.3
Netherlands;Not self-sufficient
New Zealand;22.8
Nicaragua;22.0
Niger;18.7
Nigeria;18.5
North Korea;35.2
Norway;25.0
Oman;16.3
Pakistan;18.8
Palestina;156.5
Panama;19.8
Papua New Guinea;26.7
Paraguay;24.6
Peru;16.3
Philippines;21.8
Poland;23.3
Portugal;19.4
Puerto Rico;149.9
Qatar;Not self-sufficient
Republic of Congo;28.6
Romania;22.1
Russia;23.1
Rwanda;23.3
Saudi Arabia;13.1
Senegal;16.6
Serbia;23.4
Sierra Leone;31.5
Slovakia;23.6
Slovenia;240.6
Somalia;27.9
South Africa;24.7
South Korea;Not self-sufficient
South Sudan;25.6
Spain;17.7
Sri Lanka;28.9
Sudan;35.4
Suriname;32.4
Swaziland;35.3
Sweden;34.7
Switzerland;47.3
Syria;39.4
Tajikistan;20.1
Tanzania;20.1
Thailand;19.0
Timor-Leste;16.9
Togo;22.6
Trinidad and Tobago;Not self-sufficient
Tunisia;21.0
Turkey;21.4
Turkmenistan;20.4
Uganda;20.4
Ukraine;30.4
United Kingdom;31.5
United States;14.9
Uruguay;26.7
Uzbekistan;19.7
Venezuela;44.5
Vietnam;33.8
Western Sahara;16.7
Yemen;25.2
Zambia;32.8
Zimbabwe;27.3
Australiaa;15.6
Australiab;18.9
Australiac;16.3
Australiad;23.7
Australiae;24.5
Brazila;21.4
Brazilb;20.4
Brazilc;18.5
Brazild;21.4
Brazile;21.9
Brazilf;25.4
Canadaa;20.7
Canadab;16.7
Canadac;20.9
Canadad;16.2
Canadae;21.6
Canadaf;28.5
Chinaa;16.8
Chinab;19.7
Chinac;Not self-sufficient
Chinad;Not self-sufficient
Chinae;18.2
Chinaf;14.2
Indiaa;15.7
Indiab;25.0
Indiac;21.9
Indiad;19.5
Indiae;21.2
Indiaf;21.2
Indonesiaa;20.6
Indonesiab;20.1
Indonesiac;18.9
Indonesiad;19.2
Indonesiae;24.1
Irana;21.4
Iranb;22.0
Iranc;19.3
Irand;18.8
Kazakhstana;17.3
Kazakhstanb;22.3
Kazakhstanc;20.6
Kazakhstand;17.3
Mexicoa;13.9
Mexicob;14.1
Mexicoc;14.6
Mexicod;19.0
Mexicoe;16.4
Pakistana;18.5
Pakistanb;24.8
Pakistanc;18.5
Pakistand;20.6
Russiaa;31.9
Russiab;25.6
Russiac;21.9
Russiad;23.1
Russiae;26.0
Russiaf;21.6
Russiag;23.4
Russiah;19.8
Saudi Arabiaa;13.0
Saudi Arabiab;13.3
Saudi Arabiac;13.1
Saudi Arabiad;13.1
United Statesa;Not self-sufficient
United Statesb;Not self-sufficient
United Statesc;19.2
United Statesd;14.9
United Statese;133.3
United Statesf;18.7
United Statesg;14.5
United Statesh;12.7
United Statesi;15.6
United Statesj;20.1
